frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,6.821,6.666,28031038,15568660,1416,17
1,7.891,8.325,28031038,15568660,1416,17
2,7.668,7.495,28031038,15568660,1416,17
3,5.547,7.935,28031038,15568660,1416,17
4,7.939,9.101,28031038,15568660,1416,17
5,8.289,5.802,28031038,15568660,1416,17
6,8.257,7.452,28031038,15568660,1416,17
7,6.599,5.309,28031038,15568660,1416,17
8,7.259,8.301,28031038,15568660,1416,17
9,7.535,8.140,28031038,15568660,1416,17
10,8.089,7.966,28031038,15568660,1416,17
11,6.783,6.701,28031038,15568660,1416,17
12,7.905,7.446,28031038,15568660,1416,17
13,7.685,7.167,28031038,15568660,1416,17
14,6.910,8.359,28031038,15568660,1416,17
15,6.704,6.698,28031038,15568660,1416,17
16,6.857,8.319,28031038,15568660,1416,17
17,7.027,7.699,28031038,15568660,1416,17
18,7.037,6.667,28031038,15568660,1416,17
19,6.947,6.698,28031038,15568660,1416,17
20,6.919,6.787,28031038,15568660,1416,17
21,6.831,7.060,28031038,15568660,1416,17
22,7.532,7.031,28031038,15568660,1416,17
23,6.409,6.973,28031038,15568660,1416,17
24,7.748,6.940,28031038,15568660,1416,17
25,7.253,6.770,28031038,15568660,1416,17
26,6.569,7.619,28031038,15568660,1416,17
27,6.954,6.346,28031038,15568660,1416,17
28,6.208,8.023,28031038,15568660,1416,17
29,7.550,7.151,28031038,15568660,1416,17
30,7.340,6.488,28031038,15568660,1416,17
31,7.047,6.962,28031038,15568660,1416,17
32,6.608,6.061,28031038,15568660,1416,17
33,7.084,7.657,28031038,15568660,1416,17
34,7.472,7.397,28031038,15568660,1416,17
35,6.939,7.044,28031038,15568660,1416,17
36,6.499,6.510,28031038,15568660,1416,17
37,7.773,7.183,28031038,15568660,1416,17
38,6.513,7.534,28031038,15568660,1416,17
39,6.904,6.969,28031038,15568660,1416,17
40,6.256,6.384,28031038,15568660,1416,17
41,7.732,7.859,28031038,15568660,1416,17
42,7.070,6.433,28031038,15568660,1416,17
43,6.994,6.952,28031038,15568660,1416,17
44,6.370,6.145,28031038,15568660,1416,17
45,9.916,7.907,28031038,15568660,1416,17
46,7.905,6.963,28031038,15568660,1416,17
47,5.648,6.994,28031038,15568660,1416,17
48,5.894,6.390,28031038,15568660,1416,17
49,6.567,10.062,28031038,15568660,1416,17
50,6.891,8.139,28031038,15568660,1416,17
51,6.851,5.356,28031038,15568660,1416,17
52,6.477,5.779,28031038,15568660,1416,17
53,7.721,6.563,28031038,15568660,1416,17
54,7.534,6.867,28031038,15568660,1416,17
55,6.550,6.844,28031038,15568660,1416,17
56,6.711,6.615,28031038,15568660,1416,17
57,7.857,7.571,28031038,15568660,1416,17
58,7.058,7.344,28031038,15568660,1416,17
59,6.609,6.700,28031038,15568660,1416,17
60,7.318,6.760,28031038,15568660,1416,17
61,7.173,7.512,28031038,15568660,1416,17
62,6.479,7.395,28031038,15568660,1416,17
63,6.938,6.383,28031038,15568660,1416,17
64,6.995,7.401,28031038,15568660,1416,17
65,7.295,7.048,28031038,15568660,1416,17
66,7.311,6.446,28031038,15568660,1416,17
67,6.856,7.080,28031038,15568660,1416,17
68,7.028,7.021,28031038,15568660,1416,17
69,7.048,7.340,28031038,15568660,1416,17
70,7.418,7.315,28031038,15568660,1416,17
71,6.787,7.143,28031038,15568660,1416,17
72,6.789,6.736,28031038,15568660,1416,17
73,7.485,7.173,28031038,15568660,1416,17
74,6.603,7.076,28031038,15568660,1416,17
75,6.966,7.055,28031038,15568660,1416,17
76,6.782,6.750,28031038,15568660,1416,17
77,7.062,7.510,28031038,15568660,1416,17
78,7.598,6.569,28031038,15568660,1416,17
79,6.957,6.741,28031038,15568660,1416,17
