frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,7.017,7.336,27881405,15393198,1417,17
1,7.928,8.530,27881405,15393198,1417,17
2,7.180,7.376,27881405,15393198,1417,17
3,7.468,7.279,27881405,15393198,1417,17
4,7.111,8.251,27881405,15393198,1417,17
5,7.788,6.520,27881405,15393198,1417,17
6,7.275,7.252,27881405,15393198,1417,17
7,7.122,7.628,27881405,15393198,1417,17
8,7.031,6.893,27881405,15393198,1417,17
9,8.455,7.871,27881405,15393198,1417,17
10,6.816,7.176,27881405,15393198,1417,17
11,7.053,7.174,27881405,15393198,1417,17
12,7.651,6.991,27881405,15393198,1417,17
13,7.807,8.533,27881405,15393198,1417,17
14,7.392,6.896,27881405,15393198,1417,17
15,6.511,7.018,27881405,15393198,1417,17
16,24.809,7.589,27881405,15393198,1417,17
17,4.974,7.822,27881405,15393198,1417,17
18,4.712,7.501,27881405,15393198,1417,17
19,4.873,6.424,27881405,15393198,1417,17
20,4.705,24.942,27881405,15393198,1417,17
21,4.611,4.966,27881405,15393198,1417,17
22,6.279,4.874,27881405,15393198,1417,17
23,6.786,4.814,27881405,15393198,1417,17
24,6.460,4.783,27881405,15393198,1417,17
25,7.493,4.320,27881405,15393198,1417,17
26,6.854,6.370,27881405,15393198,1417,17
27,7.427,6.717,27881405,15393198,1417,17
28,6.616,6.393,27881405,15393198,1417,17
29,7.253,7.573,27881405,15393198,1417,17
30,7.395,6.769,27881405,15393198,1417,17
31,6.944,7.573,27881405,15393198,1417,17
32,6.202,6.719,27881405,15393198,1417,17
33,7.908,7.031,27881405,15393198,1417,17
34,6.711,7.399,27881405,15393198,1417,17
35,6.548,7.153,27881405,15393198,1417,17
36,6.539,5.943,27881405,15393198,1417,17
37,8.013,8.007,27881405,15393198,1417,17
38,6.144,6.704,27881405,15393198,1417,17
39,7.287,6.525,27881405,15393198,1417,17
40,6.555,6.488,27881405,15393198,1417,17
41,7.451,8.275,27881405,15393198,1417,17
42,6.545,5.824,27881405,15393198,1417,17
43,7.148,7.373,27881405,15393198,1417,17
44,6.831,6.461,27881405,15393198,1417,17
45,7.217,7.532,27881405,15393198,1417,17
46,7.059,6.524,27881405,15393198,1417,17
47,6.333,7.222,27881405,15393198,1417,17
48,7.031,6.747,27881405,15393198,1417,17
49,7.553,7.207,27881405,15393198,1417,17
50,6.961,7.134,27881405,15393198,1417,17
51,8.509,6.194,27881405,15393198,1417,17
52,4.460,7.039,27881405,15393198,1417,17
53,7.736,7.694,27881405,15393198,1417,17
54,6.777,6.866,27881405,15393198,1417,17
55,7.313,8.523,27881405,15393198,1417,17
56,6.057,4.356,27881405,15393198,1417,17
57,7.835,7.850,27881405,15393198,1417,17
58,6.540,6.716,27881405,15393198,1417,17
59,7.273,7.424,27881405,15393198,1417,17
60,6.714,5.940,27881405,15393198,1417,17
61,7.517,7.834,27881405,15393198,1417,17
62,6.346,6.631,27881405,15393198,1417,17
63,6.665,7.267,27881405,15393198,1417,17
64,6.543,6.823,27881405,15393198,1417,17
65,7.962,7.489,27881405,15393198,1417,17
66,7.044,6.235,27881405,15393198,1417,17
67,6.650,6.596,27881405,15393198,1417,17
68,6.786,6.562,27881405,15393198,1417,17
69,7.257,8.021,27881405,15393198,1417,17
70,6.859,7.029,27881405,15393198,1417,17
71,7.072,6.751,27881405,15393198,1417,17
72,6.333,6.647,27881405,15393198,1417,17
73,7.385,7.458,27881405,15393198,1417,17
74,7.007,6.691,27881405,15393198,1417,17
75,6.302,7.295,27881405,15393198,1417,17
76,7.375,6.078,27881405,15393198,1417,17
77,7.208,7.500,27881405,15393198,1417,17
78,7.560,7.191,27881405,15393198,1417,17
79,7.044,6.017,27881405,15393198,1417,17
