frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,7.558,7.843,19588662,11513160,7525,74
1,8.044,6.782,19588662,11513160,7525,74
2,7.979,7.342,19588662,11513160,7525,74
3,6.612,7.861,19588662,11513160,7525,74
4,7.595,9.072,19588662,11513160,7525,74
5,7.918,6.776,19588662,11513160,7525,74
6,8.292,7.943,19588662,11513160,7525,74
7,7.690,6.490,19588662,11513160,7525,74
8,7.979,7.901,19588662,11513160,7525,74
9,7.008,7.783,19588662,11513160,7525,74
10,6.767,8.358,19588662,11513160,7525,74
11,7.800,7.562,19588662,11513160,7525,74
12,8.895,7.957,19588662,11513160,7525,74
13,6.542,6.972,19588662,11513160,7525,74
14,6.830,6.636,19588662,11513160,7525,74
15,7.745,7.838,19588662,11513160,7525,74
16,6.448,9.279,19588662,11513160,7525,74
17,8.035,6.368,19588662,11513160,7525,74
18,6.928,6.655,19588662,11513160,7525,74
19,7.116,8.041,19588662,11513160,7525,74
20,6.551,6.189,19588662,11513160,7525,74
21,7.331,8.214,19588662,11513160,7525,74
22,6.311,6.972,19588662,11513160,7525,74
23,7.923,6.791,19588662,11513160,7525,74
24,6.914,6.979,19588662,11513160,7525,74
25,7.233,7.112,19588662,11513160,7525,74
26,6.897,6.504,19588662,11513160,7525,74
27,7.541,7.642,19588662,11513160,7525,74
28,6.932,6.939,19588662,11513160,7525,74
29,6.606,7.047,19588662,11513160,7525,74
30,6.852,7.001,19588662,11513160,7525,74
31,7.604,7.498,19588662,11513160,7525,74
32,6.551,7.104,19588662,11513160,7525,74
33,7.310,6.504,19588662,11513160,7525,74
34,6.337,6.860,19588662,11513160,7525,74
35,7.639,7.529,19588662,11513160,7525,74
36,7.630,6.589,19588662,11513160,7525,74
37,6.953,7.306,19588662,11513160,7525,74
38,6.115,6.368,19588662,11513160,7525,74
39,8.017,7.555,19588662,11513160,7525,74
40,7.085,7.913,19588662,11513160,7525,74
41,6.250,6.703,19588662,11513160,7525,74
42,7.065,6.110,19588662,11513160,7525,74
43,7.541,8.050,19588662,11513160,7525,74
44,6.483,7.189,19588662,11513160,7525,74
45,7.458,6.074,19588662,11513160,7525,74
46,6.338,7.117,19588662,11513160,7525,74
47,7.334,7.501,19588662,11513160,7525,74
48,8.135,6.484,19588662,11513160,7525,74
49,6.054,7.772,19588662,11513160,7525,74
50,7.625,6.250,19588662,11513160,7525,74
51,7.007,7.185,19588662,11513160,7525,74
52,6.718,8.019,19588662,11513160,7525,74
53,7.088,6.113,19588662,11513160,7525,74
54,6.996,7.765,19588662,11513160,7525,74
55,7.122,6.800,19588662,11513160,7525,74
56,6.949,6.782,19588662,11513160,7525,74
57,6.911,7.031,19588662,11513160,7525,74
58,6.521,7.087,19588662,11513160,7525,74
59,7.526,7.169,19588662,11513160,7525,74
60,7.531,6.835,19588662,11513160,7525,74
61,7.134,6.884,19588662,11513160,7525,74
62,6.243,6.501,19588662,11513160,7525,74
63,8.121,7.511,19588662,11513160,7525,74
64,6.208,7.667,19588662,11513160,7525,74
65,7.101,7.168,19588662,11513160,7525,74
66,6.975,6.124,19588662,11513160,7525,74
67,7.410,8.390,19588662,11513160,7525,74
68,6.614,6.088,19588662,11513160,7525,74
69,7.529,7.060,19588662,11513160,7525,74
70,6.453,6.979,19588662,11513160,7525,74
71,7.873,7.463,19588662,11513160,7525,74
72,6.924,6.548,19588662,11513160,7525,74
73,6.777,7.693,19588662,11513160,7525,74
74,7.183,6.217,19588662,11513160,7525,74
75,7.407,8.084,19588662,11513160,7525,74
76,7.479,6.865,19588662,11513160,7525,74
77,6.239,6.949,19588662,11513160,7525,74
78,7.228,7.104,19588662,11513160,7525,74
79,7.759,7.219,19588662,11513160,7525,74
