frame,repaint_interval_ms,cpu_frame_ms,triangles,vertices,draw_calls,set_pass_calls
0,6.727,7.634,0,0,0,0
1,7.997,7.693,0,0,0,0
2,7.765,8.532,0,0,0,0
3,7.505,6.892,0,0,0,0
4,6.920,7.662,0,0,0,0
5,7.826,6.779,0,0,0,0
6,7.466,7.943,0,0,0,0
7,6.320,7.647,0,0,0,0
8,7.546,6.884,0,0,0,0
9,7.885,7.651,0,0,0,0
10,7.486,7.480,0,0,0,0
11,7.058,6.289,0,0,0,0
12,7.226,7.531,0,0,0,0
13,7.770,8.021,0,0,0,0
14,7.637,7.271,0,0,0,0
15,7.126,7.063,0,0,0,0
16,6.674,7.240,0,0,0,0
17,7.543,7.736,0,0,0,0
18,7.329,7.613,0,0,0,0
19,6.504,7.145,0,0,0,0
20,7.077,6.690,0,0,0,0
21,7.594,7.507,0,0,0,0
22,7.560,7.419,0,0,0,0
23,6.301,6.401,0,0,0,0
24,6.728,7.301,0,0,0,0
25,7.732,7.700,0,0,0,0
26,7.110,7.344,0,0,0,0
27,7.170,6.333,0,0,0,0
28,6.092,6.666,0,0,0,0
29,8.323,7.768,0,0,0,0
30,6.315,7.038,0,0,0,0
31,7.111,7.233,0,0,0,0
32,7.049,6.014,0,0,0,0
33,6.699,8.669,0,0,0,0
34,8.158,6.087,0,0,0,0
35,7.969,7.107,0,0,0,0
36,6.866,7.328,0,0,0,0
37,5.878,6.549,0,0,0,0
38,7.532,8.227,0,0,0,0
39,6.004,8.283,0,0,0,0
40,6.973,6.822,0,0,0,0
41,7.507,5.633,0,0,0,0
42,6.946,7.390,0,0,0,0
43,6.951,5.996,0,0,0,0
44,6.345,6.974,0,0,0,0
45,7.543,7.733,0,0,0,0
46,7.285,6.988,0,0,0,0
47,7.468,6.799,0,0,0,0
48,6.308,6.265,0,0,0,0
49,7.417,7.534,0,0,0,0
50,7.761,7.113,0,0,0,0
51,6.488,7.761,0,0,0,0
52,6.640,6.026,0,0,0,0
53,7.750,7.495,0,0,0,0
54,6.351,7.994,0,0,0,0
55,7.069,6.352,0,0,0,0
56,7.090,6.469,0,0,0,0
57,7.163,7.925,0,0,0,0
58,7.238,6.160,0,0,0,0
59,7.146,7.098,0,0,0,0
60,6.299,7.403,0,0,0,0
61,7.575,6.905,0,0,0,0
62,7.647,7.231,0,0,0,0
63,6.345,7.250,0,0,0,0
64,7.268,6.140,0,0,0,0
65,7.185,7.792,0,0,0,0
66,6.907,7.497,0,0,0,0
67,6.712,6.355,0,0,0,0
68,6.743,7.340,0,0,0,0
69,7.729,7.010,0,0,0,0
70,7.864,6.948,0,0,0,0
71,6.589,6.714,0,0,0,0
72,6.459,6.811,0,0,0,0
73,7.636,7.796,0,0,0,0
74,8.246,7.815,0,0,0,0
75,6.184,6.679,0,0,0,0
76,6.406,6.226,0,0,0,0
77,7.221,8.010,0,0,0,0
78,6.725,8.120,0,0,0,0
79,7.963,5.966,0,0,0,0
